Build started: Project: Armstrong.Common.Types, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Common.Resources, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Data.Entities, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Common.Utilities, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Data.DBContexts, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Logic.Data.Contracts, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Common.Infrastructure, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Logic.Data.Converters, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Common.UnitTests, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Tests.Utilities, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Data.Repositories, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Web.Utilities, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Data.Services.Contracts, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Web.Common, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Data.Services.Implementation, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Web.Adept, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Web.Auth, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Logic.Services.Contracts, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Data.UnitTests, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Logic.Services.Implementation, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Services.Web.Reports, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Logic.UnitTests, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Services.Web.ProductSearch, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Services.Web.Auth, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Services.Web.Adept, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Windows.AclTool, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Services.UnitTests, Configuration: Debug Any CPU: 
Build started: Project: Armstrong.Web.UnitTests, Configuration: Debug Any CPU: 
